province,year,carbon_intensity,digital_finance,gdp_per_capita,industrial_structure,urbanization,government_intervention,innovation,energy_structure,gdp,population,urban_population,secondary_industry,fiscal_expenditure,carbon_emissions_mt,raw_coal_emissions_mt
重庆,2011,1.4611872922180962,41.89,3.503430706521739,0.44320881123898354,0.5499320652173914,0.2491967306890567,1865,0.8374469634495793,10314.1,2944.0,1619.0,4571.3,2570.24,150.70831850666667,126.21022370000003
重庆,2012,1.2659852272748024,100.02,3.9656470588235293,0.44992286697519884,0.5663865546218487,0.2582142433335029,2426,0.7898328119988309,11797.8,2975.0,1685.0,5308.1,3046.36,149.35840514342664,117.96816913009332
重庆,2013,1.0114647737989424,159.86,4.4090999667884425,0.4510914596483828,0.582862836267021,0.23066632519320873,2360,0.792402941777567,13275.8,3011.0,1755.0,5988.6,3062.28,134.28004044,106.40389906666665
重庆,2014,0.9329331289300796,184.71,4.90032862306934,0.454314397419476,0.5974367400591521,0.2215971351354976,2321,0.7805835894831837,14911.7,3043.0,1818.0,6774.6,3304.39,139.1161893866667,108.59181446666668
重庆,2015,0.8536331098968265,221.84,5.311368078175896,0.442048583641504,0.614657980456026,0.23255386087244495,3964,0.7732042988069278,16305.9,3070.0,1887.0,7208.0,3792.0,139.19256126666664,107.62428673333332
重庆,2016,0.778179015034198,233.8881269932102,5.874951768488746,0.4250099884517079,0.6334405144694534,0.21902403248846541,5044,0.7805201341205212,18271.1,3110.0,1970.0,7765.4,4001.81,142.18186601591333,110.97580913224665
重庆,2017,0.63064884604754,276.3056599169835,6.444274809160305,0.4173082997709864,0.6501272264631043,0.2140231382768696,6138,0.7615939356739294,20260.8,3144.0,2044.0,8455.0,4336.28,127.77450139999999,97.3122854
重庆,2018,0.5661726225449845,301.5320313859045,6.913310148593108,0.4043664367900196,0.6661397407524502,0.2076641300967677,6570,0.7339425792458545,21866.8,3163.0,2107.0,8842.2,4540.95,123.80383502666666,90.86490599999999
重庆,2019,0.5304693095141609,325.4710297328823,7.430865746549561,0.38243786302850197,0.6822459222082811,0.20463325678778876,6988,0.7207543285878776,23689.6,3188.0,2175.0,9059.8,4847.68,125.66605754666666,90.57435493333332
重庆,2020,0.34910638023804136,344.7642653000158,7.839856653162979,0.3834152817581614,0.69460891243378,0.19452780615388285,7637,0.6071436677347389,25158.1,3209.0,2229.0,9646.0,4893.95,87.82853224666667,53.32453719999999
